26,     Dominion,     /boardgame/36218/dominion, 7.711, 7.8, 40537, 2008, 2,     4, 3, 13, 30, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False,     <(Card Game)><(Medieval)>,    <(Strategy Games)>,     <(Card Drafting)><(Deck / Pool Building)><(Hand Management)>
27,     The Resistance: Avalon,     /boardgame/128882/resistance-avalon, 7.701, 7.92, 7220, 2012, 5,     10, 7, 13, 30, True, False, True, False, False, False, False, False, False, False, True, True, False, False, False,     <(Bluffing)><(Card Game)><(Deduction)><(Fantasy)><(Medieval)><(Negotiation)><(Party Game)>,    <(Party Games)>,     <(Memory)><(Partnerships)><(Simultaneous Action Selection)><(Variable Player Powers)><(Voting)>
28,     Lords of Waterdeep,     /boardgame/110327/lords-waterdeep, 7.699, 7.82, 16347, 2012, 2,     5, 3, 12, 60, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False,     <(City Building)><(Fantasy)>,    <(Strategy Games)>,     <(Set Collection)><(Worker Placement)>
29,     Twilight Imperium (Third Edition),     /boardgame/12493/twilight-imperium-third-edition, 7.689, 7.88, 11155, 2005, 3,     6, 6, 12, 360, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False,     <(Civilization)><(Negotiation)><(Political)><(Science Fiction)><(Space Exploration)><(Wargame)>,    <(Strategy Games)><(Thematic Games)>,     <(Action Point Allowance System)><(Area-Impulse)><(Dice Rolling)><(Hex-and-Counter)><(Modular Board)><(Role Playing)><(Trading)><(Variable Phase Order)><(Variable Player Powers)><(Voting)>
30,     Keyflower,     /boardgame/122515/keyflower, 7.679, 7.95, 5143, 2012, 2,     6, 4, 12, 90, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False,     <(Economic)><(Nautical)><(Renaissance)><(Territory Building)>,    <(Strategy Games)>,     <(Auction/Bidding)><(Memory)><(Modular Board)><(Pick-up and Deliver)><(Route/Network Building)><(Set Collection)><(Tile Placement)><(Worker Placement)>
31,     Mage Wars,     /boardgame/101721/mage-wars, 7.665, 8.12, 4081, 2012, 2, 2, 2, 13, 90, True, False, True, False, False, True, False, False, False, False, False, False, False, False, False,     <(Card Game)><(Fantasy)><(Fighting)>,    <(Customizable Games)>,     <(Dice Rolling)><(Grid Movement)><(Simultaneous Action Selection)><(Variable Player Powers)>
32,     Tigris & Euphrates,     /boardgame/42/tigris-euphrates, 7.662, 7.77, 16882, 1997, 2,     4, 4, 12, 90, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False,     <(Ancient)><(Civilization)><(Territory Building)>,    <(Strategy Games)>,     <(Area Control / Area Influence)><(Hand Management)><(Set Collection)><(Tile Placement)>
33,     War of the Ring (first edition),     /boardgame/9609/war-ring-first-edition, 7.66, 7.86, 8161, 2004, 2,     4, 2, 12, 180, False, True, True, False, False, False, False, False, False, True, False, False, False, False, False,     <(Adventure)><(Dice)><(Fantasy)><(Novel-based)><(Territory Building)><(Wargame)>,    <(Thematic Games)><(Wargames)>,     <(Area Control / Area Influence)><(Area Movement)><(Campaign / Battle Card Driven)><(Dice Rolling)><(Hand Management)>
34,     Descent: Journeys in the Dark (Second Edition),     /boardgame/104162/descent-journeys-dark-second-edition, 7.647, 7.89, 8168, 2012, 2,     5, 5, 14, 120, False, False, True, False, False, True, False, False, False, False, False, False, False, False, False,     <(Adventure)><(Exploration)><(Fantasy)><(Fighting)><(Miniatures)>,    <(Thematic Games)>,     <(Action Point Allowance System)><(Dice Rolling)><(Grid Movement)><(Hand Management)><(Modular Board)><(Partnerships)><(Variable Player Powers)>
35,     Dead of Winter: A Crossroads Game,     /boardgame/150376/dead-winter-crossroads-game, 7.643, 8.16, 2944, 2014, 2,     5, 4, 13, 100, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False,     <(Zombies)>,    <(Thematic Games)>,     <(Action Point Allowance System)><(Co-operative Play)><(Dice Rolling)><(Hand Management)><(Point to Point Movement)><(Variable Player Powers)><(Voting)>
36,     A Game of Thrones: The Board Game (Second Edition),     /boardgame/103343/game-thrones-board-game-second-edition, 7.642, 7.85, 10014, 2011, 3,     6, 6, 14, 180, False, True, True, False, False, False, False, False, False, False, False, True, False, False, False,     <(Bluffing)><(Fantasy)><(Negotiation)><(Novel-based)><(Political)><(Wargame)>,    <(Strategy Games)>,     <(Area Control / Area Influence)><(Area Movement)><(Auction/Bidding)><(Player Elimination)><(Simultaneous Action Selection)><(Variable Player Powers)>
37,     Trajan,     /boardgame/102680/trajan, 7.615, 7.85, 5836, 2011, 2,     4, 4, 12, 90, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False,     <(Ancient)><(Political)>,    <(Strategy Games)>,     <(Area Movement)><(Card Drafting)><(Hand Management)><(Set Collection)><(Worker Placement)>
38,     Crokinole,     /boardgame/521/crokinole, 7.607, 7.82, 5678, 1867, 2,     4,   ?, 8, 30, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True,     <(Action / Dexterity)>,    <(Family Games)>,     <(Partnerships)>
39,     Nations,     /boardgame/126042/nations, 7.606, 7.92, 4349, 2013, 1,     5, 3, 14, 120, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False,     <(Card Game)><(Civilization)><(Economic)>,    <(Strategy Games)>,     <(Card Drafting)><(Variable Player Powers)>
